country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri
Angola,Mortalidad_Alta,2929.69445467272,20.6,423.122517600564,64.246,13.7377884974543,41.1747693679878,39.6,0.0,2.997190514005784
Angola,Mortalidad_Alta,1925.87466082167,20.4,418.358996013843,62.958,11.4863453766476,40.9337415818833,40.9,0.0,3.563687164161365
Angola,Mortalidad_Alta,1449.92286669308,15.1,397.633186643914,63.116,9.94654357144815,44.3955921450617,42.3,0.0,4.463419058707044
Angola,Mortalidad_Alta,2189.85571407618,20.5,416.996507156148,63.051,7.88262506936516,42.123209005715,43.8,0.0,5.343804714170867
Angola,Mortalidad_Alta,2538.59139143371,18.9,405.179753107747,62.622,8.60774180183334,43.2069096122475,45.3,1.0,5.019540619009387
Angola,Mortalidad_Alta,2437.25971190821,12.8,456.692217487614,62.122,10.0169959653141,46.7626248264264,47.0,0.0,4.668328208212479
Angola,Mortalidad_Alta,1807.95294072643,19.0,462.934994006148,61.619,9.83116886032956,46.980995527677,48.9,0.0,4.778780244254914
Angola,Mortalidad_Alta,3213.90261080059,23.0,517.525209417242,61.042,9.12253437222206,48.6598885686327,51.1,0.0,5.334031814316987
Angola,Mortalidad_Alta,5005.9997412707,17.7,447.160325436651,60.396,7.5470567791822,46.8139275295854,53.6,0.0,6.2029382975780605
Angola,Mortalidad_Alta,5057.74787833163,20.0,512.021802587495,59.705,6.50749231982044,42.7849146737659,56.7,0.0,6.57471612274549
Angola,Mortalidad_Alta,5086.02740086376,19.0,531.24332255994,58.916,6.06962999112471,39.6049455482436,60.4,0.0,6.525100476660976
Angola,Mortalidad_Alta,4615.91059831778,19.0,486.235365702241,58.093,5.84568087986773,39.0758307473749,64.4,0.0,6.684564475962134
Angola,Mortalidad_Alta,3597.34293216332,19.0,487.281074343005,57.242,6.18029349810839,41.887025816932,68.9,0.0,6.777514017700359
Angola,Mortalidad_Alta,3136.64546955947,22.0,504.92416679274,56.225,6.62119676383424,48.9906714059621,73.7,0.0,7.3990659322427845
Angola,Mortalidad_Alta,4103.0669003635,22.0,472.064397001416,55.281,4.80533933843347,34.3382017589612,78.7,1.0,7.14584326736754
Angola,Mortalidad_Alta,3141.0459797605,20.0,446.790005661844,54.2,5.24227833734658,34.6118783461354,83.8,0.0,6.602449568455091
Angola,Mortalidad_Alta,2617.05196022633,20.0,422.909458684002,52.965,5.19128018876127,37.1568468383723,89.1,0.0,7.157549869647583
Angola,Mortalidad_Alta,1916.46842218625,33.28,392.557802386847,52.13,5.06040294790886,35.5267258263529,94.4,0.0,7.020532987602069
Angola,Mortalidad_Alta,1266.21086410236,26.28,433.557080102511,51.123,6.25087790478717,40.3474731127873,99.3,0.0,6.454689041660469
Angola,Mortalidad_Alta,992.698979254665,27.8,446.134132051678,50.218,6.19838450193387,41.1829874636929,104.0,0.0,6.644148560135949
Angola,Mortalidad_Alta,882.147847234303,26.2,429.424207435976,47.874,5.8395499748266,37.9075789655613,108.1,0.0,6.491524026504616
Angola,Mortalidad_Alta,533.586202412447,17.32,428.599480858479,47.032,8.15637702246655,26.9598114360045,111.9,0.0,3.3053660175031547
Angola,Mortalidad_Alta,563.733795571487,10.0,428.222669261961,46.501,5.66468956353548,22.2123554945612,115.0,1.0,3.921195547509914
Angola,Mortalidad_Alta,404.29481849612,30.0,460.744687477655,46.139,6.65321372200356,33.0616104906329,123.2,0.0,4.969269269269269
Argentina,Mortalidad_Baja,13935.6811110049,45.1,1808.99849167635,75.806,6.63829697473642,53.5116407160562,8.3,1.0,8.061049531183551
Argentina,Mortalidad_Media,10738.0179223384,54.0,1741.65240212881,73.948,7.29128249622041,52.8340319497207,8.5,1.0,7.246191870512264
Argentina,Mortalidad_Baja,8535.59938004389,49.7,1624.17555252173,75.878,6.35703367575527,54.8578674557962,8.7,1.0,8.629475672752138
Argentina,Mortalidad_Baja,9955.97478680428,33.5,1777.41507710553,76.847,5.3185559967348,55.4388171093669,8.9,1.0,10.42365956913911
Argentina,Mortalidad_Baja,11752.7998922979,32.6,1806.77623499039,76.77,4.53787889681146,56.3697502721818,9.2,1.0,12.422048175809627
Argentina,Mortalidad_Baja,14532.5009308511,38.2,1874.82963739464,76.543,5.23162237725058,57.3499373815692,9.4,1.0,10.962170670221196
Argentina,Mortalidad_Baja,12699.9623137756,34.0,1889.87018853289,76.105,6.26456582010254,56.1222358547004,9.7,1.0,8.958679255090304
Argentina,Mortalidad_Baja,13679.6264980954,34.0,1919.75859208058,76.6,5.1566859021408,55.8149012843362,10.0,0.0,10.823793099588366
Argentina,Mortalidad_Baja,12233.1444119186,29.5,1911.61727736839,76.268,6.71270351428559,52.9405434663365,10.4,1.0,7.886620249750562
Argentina,Mortalidad_Baja,12963.675773326,30.0,1928.54922885127,75.829,6.05291843670451,53.9190936666216,10.9,1.0,8.907949814697595
Argentina,Mortalidad_Baja,12949.717486654,29.0,1897.60983922809,75.802,5.7817442068501,53.6581179163924,11.4,1.0,9.280610832423074
Argentina,Mortalidad_Baja,12704.2831819684,29.0,1865.25736115683,76.1,6.99873377022519,51.8119007511102,11.9,1.0,7.403039242831937
Argentina,Mortalidad_Baja,10260.1313108254,29.0,1826.05112368849,75.68,7.13216745078964,51.4951802052167,12.4,1.0,7.220130564869925
Argentina,Mortalidad_Baja,8150.23527028221,29.0,1722.74402909882,75.577,5.2736234689014,53.3060010032753,12.8,1.0,10.10804076506812
Argentina,Mortalidad_Baja,8944.1102657357,29.0,1889.40923801554,75.428,7.3189545972436,50.2551922042782,13.2,1.0,6.866444044236163
Argentina,Mortalidad_Media,7185.25155147027,28.0,1845.91422802344,74.783,7.45235394606923,49.5083307772744,13.6,1.0,6.643314466214765
Argentina,Mortalidad_Baja,5869.38028970204,25.0,1784.01669776279,75.279,6.93557229126392,48.7491333682456,14.0,1.0,7.02885520055068
Argentina,Mortalidad_Baja,5067.65342293276,25.0,1712.4320350003,75.231,7.93875427420938,48.4861459282405,14.4,1.0,6.107525721731603
Argentina,Mortalidad_Media,4242.02099089422,28.0,1740.90890259945,74.871,8.36248661002826,47.8369882937827,14.9,1.0,5.720426294783753
Argentina,Mortalidad_Media,3320.47775133903,35.0,1588.98177724668,74.307,10.328166939117,51.0316942508769,15.4,1.0,4.941021436979196
Argentina,Mortalidad_Media,2569.69963519124,35.0,1484.25701881625,74.312,10.2066467144411,54.7764456459146,15.8,1.0,5.366742592198566
Argentina,Mortalidad_Media,7141.47507662826,30.0,1518.4581858385,74.154,4.56858960891786,65.0812573281962,16.2,1.0,14.245371744741083
Argentina,Mortalidad_Media,7637.01489203628,30.0,1643.32131961789,73.91,4.67991094417297,63.469313441501,16.7,1.0,13.562077184508743
Argentina,Mortalidad_Media,7357.6162773788,50.0,1507.19847475089,72.864,5.351464616273,62.263779670525,20.9,1.0,11.634904485996264
Armenia,Mortalidad_Media,6571.97445545099,50.8,1347.59055747413,74.7658536585366,10.1467039255683,55.6162023383919,9.3,1.0,5.481208749793784
Armenia,Mortalidad_Media,4685.17997128509,45.0,1271.52805556324,72.2780487804878,11.3435484176857,53.0783701392799,9.7,1.0,4.679168121372457
Armenia,Mortalidad_Media,4268.68093304583,43.4,1233.30455891532,73.3756097560976,11.3498051554549,53.2412027973394,10.2,1.0,4.690935400926316
Armenia,Mortalidad_Baja,4597.22887399548,38.6,1163.09284675689,76.2219512195122,11.5256107379588,53.9731853016919,10.7,1.0,4.6828915646035965
Armenia,Mortalidad_Baja,4196.00562301769,40.5,1072.33682481147,75.619512195122,13.9423116554146,52.6163051198371,11.2,1.0,3.773858053115831
Armenia,Mortalidad_Baja,3869.05373867752,43.4,1105.96696981707,75.2170731707317,14.9942601242776,50.7652583569469,11.7,1.0,3.385646102987872
Armenia,Mortalidad_Media,3524.42476874707,37.0,1043.09797203416,74.8682926829268,16.39047353385,49.9105094267778,12.2,1.0,3.045092585257004
Armenia,Mortalidad_Media,3512.39350276709,36.0,1084.52062940136,74.8707317073171,17.2231200318056,48.2126693907876,12.8,1.0,2.799299389527229
Armenia,Mortalidad_Media,3852.11800610384,26.7,1045.97511363021,74.8731707317073,18.0720363470662,47.4130437470384,13.4,1.0,2.6235584544259396
Armenia,Mortalidad_Media,3680.16692158886,26.0,959.801682347684,74.6219512195122,18.4347628834968,45.749756861728,14.1,1.0,2.481711164437281
