country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Denmark,Mortalidad_Baja,1.7509471550495257,0.5649155377673709,1.2075135271086523,-0.8709003498592303,1.4430683341275046,-0.9345932414445227,1.1497688657663716,0.1609337775797414,62520.4509747011
Denmark,Mortalidad_Baja,1.783442009474917,0.6117363379261977,1.2254717792288707,-0.8692681902330177,1.4208267287495948,-0.9440566951417907,1.1644477212310294,0.16385329170329896,61377.5940590412
Denmark,Mortalidad_Baja,1.7176829774915205,0.5920311085507406,1.1986100562201194,-0.8593797022011275,1.3484036802626713,-0.9366521912582487,1.175115506269243,0.14692819381077576,58443.7747103968
Denmark,Mortalidad_Baja,1.7705811177811885,0.6258088733888392,1.2215857892376176,-0.8645204775651467,1.37828844165591,-0.9453822236982635,1.1729297435467574,0.15806040139869287,61809.737898222
Denmark,Mortalidad_Baja,1.8051060917617092,0.6713953873774454,1.2312606355817857,-0.8661325865117805,1.3612600031895954,-0.9541747287252489,1.1426704451792367,0.1637481668569823,58104.5445594981
Denmark,Mortalidad_Baja,1.8337356130239957,0.6754465538476834,1.239686124035344,-0.8719671204069039,1.4001807039190455,-0.956479556205384,1.1213780697740254,0.1724236410170141,58412.7472358513
Denmark,Mortalidad_Baja,1.7637593357116115,0.7767354267432097,1.2247346658229101,-0.8409693154184044,1.16521266083004,-0.9630029333853825,1.1479724739170478,0.14222515837137056,64616.6657583663
Denmark,Mortalidad_Baja,1.7109060362057527,0.7911443937237207,1.2095146778822792,-0.8259872139821858,1.0683157810289332,-0.9609932092755911,1.164110006176665,0.1249687228102272,58631.6566433635
Denmark,Mortalidad_Baja,1.6990961201735966,0.8332135424172351,1.2047763290719398,-0.824593910995723,1.0290203776723446,-0.9589257336912493,1.1645490336588935,0.12392264429531258,52119.1787984282
Denmark,Mortalidad_Baja,1.6915356878230519,0.7467091261128517,1.2017581444008303,-0.824138540334719,1.0867418450950037,-0.9567861969224062,1.1592928899574793,0.12109075326761136,48925.8076698784
Denmark,Mortalidad_Baja,1.6707253145331784,0.7402473335631777,1.1947477993027664,-0.8201636336245939,1.0661443816192877,-0.9543358585996272,1.1630823932417655,0.11573254767970041,46625.050098011
Denmark,Mortalidad_Baja,1.6792341062037397,0.7598957391751253,1.198363804989351,-0.8182936465536284,1.0521276565958835,-0.9575340148032571,1.1492979480717016,0.11637221987920969,40519.0974905924
Denmark,Mortalidad_Baja,1.3430345179194436,0.9449507179190216,0.9400214013540482,-0.809699829188157,1.37344585347656,-0.790469605524584,-0.5502887849816285,0.20625268606434868,33257.1622586509
Denmark,Mortalidad_Baja,1.346203672357727,0.9824064175247184,0.9408264614495214,-0.8118868008618918,1.3543308116551804,-0.790149948213346,-0.5407256447904873,0.20857892550409657,30768.4775471112
Denmark,Mortalidad_Baja,1.6609249590523603,0.7711953407661383,1.1954661697575792,-0.8128811511473839,1.0010646635767761,-0.9586782265923552,1.1894575439322304,0.1079457300052551,30722.0251837567
Denmark,Mortalidad_Baja,1.0974491728574802,0.4492955173273607,0.9843187300916578,-0.7261720153104358,0.699261884296592,-0.8668366169028541,1.1088563174653192,-0.010991934512772306,35321.0980773087
Djibouti,Mortalidad_Alta,-0.13063592655047998,-0.8953016552432218,-0.7881874734509771,-0.8013277600476911,1.5317129813139205,0.5826908164117053,-0.8724342962122735,0.39415636204770754,3133.25779772463
Djibouti,Mortalidad_Alta,-0.16425489497999918,-0.8689425482568591,-0.8930356137481106,-0.7935922529244643,1.5026324233287678,0.6789885251125405,-0.8663131612797303,0.3671167548314924,3025.91126413549
Djibouti,Mortalidad_Alta,-0.14997258735773744,-0.8771716190364074,-0.8478187456466459,-0.7999942886044442,1.530507458316705,0.6282223321730458,-0.9688988447192199,0.3912126985829847,2844.88810647853
Djibouti,Mortalidad_Alta,-0.16464732745047772,-0.8617783956212742,-0.859126128779929,-0.7904088261443301,1.4971830823054497,0.637078503556473,-0.9778582927705435,0.3770461414045083,2837.16902340932
Djibouti,Mortalidad_Alta,-0.1683222043854055,-0.8590650331136687,-0.8819246953681978,-0.7928494367634722,1.5069082573154948,0.6549848713309293,-1.0116759525455392,0.3797285349877527,2718.08338799203
Djibouti,Mortalidad_Alta,0.1282529991275684,-1.1350302505490126,-0.9570656561687083,-0.7469171777288992,1.728711081639554,1.0933852434929308,1.3815265782328312,0.6371103990415584,2618.95521147369
Djibouti,Mortalidad_Alta,-0.08571372636821303,-0.9653611294549678,-0.9991303716199611,-0.8802468676014945,1.8069652612631275,0.7768464129197974,-0.926404175203398,0.4752073202677724,2510.4300076241
Djibouti,Mortalidad_Alta,-0.11378478689719836,-0.9341733764711248,-1.0170216364302922,-0.8627151453074265,1.7482506121679995,0.7859850473010992,-0.9903415884579545,0.4536286429919356,2376.12554719873
Djibouti,Mortalidad_Alta,-0.10130470166128729,-0.9678889820988578,-1.1693243589947673,-0.897403447387137,1.8605530826478365,0.9418568694198246,-0.8467601737945856,0.46646893379092147,2214.62084142432
Djibouti,Mortalidad_Alta,0.14775043793034845,-1.196713616041881,-1.1660830001341853,-0.7827160863376819,1.866868165413075,1.3552645551790197,1.4836579777303287,0.68512969372485,2075.94498424748
Djibouti,Mortalidad_Alta,-0.7242421646130165,-0.42514592976793103,-1.1570816319508481,0.317837921842675,-0.3155546563521792,1.0516564234334795,1.1015855346528762,-0.2131654902085191,1400.19357858954
Djibouti,Mortalidad_Alta,-0.8037174258135853,-0.5915258278034479,-1.0013239749995495,1.5233110994334242,-1.0920742171402067,1.1015937919218295,-0.9014017316893894,-0.20266589183035427,1306.34552844977
Djibouti,Mortalidad_Alta,-0.7101426949867687,-0.5588072096220362,-1.2267714461985424,0.6895694314839036,-0.5721925903527882,1.1502468814295357,-0.9416006772234731,-0.22854258521257687,1213.23352553429
Djibouti,Mortalidad_Alta,-0.7141833401958662,-0.5604615845484385,-1.2792617917676472,0.6842262927070994,-0.5506488743826623,1.2002139059360257,-0.9507578494433182,-0.22818447914580542,1150.9375857489
Djibouti,Mortalidad_Alta,-0.7316293056435121,-0.570467778166301,-1.2884825165143459,0.8221671257662084,-0.625389004711255,1.2369067703751244,-0.9157653251440867,-0.2256157335843459,1119.15233346969
Djibouti,Mortalidad_Alta,-0.866097696564674,-0.6148767594693221,-1.2507648618222134,1.8134615092846216,-1.155993169516191,1.4036316852241146,-0.9446997198722407,-0.19028772649454256,969.573220191902
Djibouti,Mortalidad_Alta,-0.806839746398595,-0.5968241088516386,-1.3101643883195642,1.3542265209317794,-0.8970433593364997,1.3670028353284112,-0.9261411436445253,-0.20697253090407197,898.464628136774
Djibouti,Mortalidad_Alta,-0.8603166389685036,-0.61594615035279,-1.3619024136202214,1.709479038577019,-1.0654317692851076,1.490084569024102,-0.9375071592847939,-0.19426578436232467,844.4483573908
Djibouti,Mortalidad_Alta,-0.8043551480244405,-0.5992524824798608,-1.4485102434106023,1.2565721266568963,-0.8002104049272456,1.4812085783035336,-0.922997962128838,-0.2104986540583716,806.261652944964
Djibouti,Mortalidad_Alta,-0.7648989489312751,-0.5871582455548977,-1.5044545738632789,0.9392882775968265,-0.6156794979204101,1.4704305834493345,-0.9148657974271228,-0.22174749958118145,764.634465224597
Djibouti,Mortalidad_Alta,-0.6998366323134856,-0.6307520626391702,-1.5611834963273277,0.7622897832739415,-0.6426273142157284,1.4905118625126133,1.0682099633370787,-0.28750669573501375,743.013270420348
Djibouti,Mortalidad_Alta,-0.7685986556074614,-0.592278493898099,-1.5747204809564832,0.9353565839717719,-0.5935922000475694,1.5374927729457684,-0.8925162259260353,-0.22323818692141323,742.133791107063
