country,categoria_expectativa_vida,AE_Latente_1,AE_Latente_2,AE_Latente_3,AE_Latente_4,gdp_per_capita_current_us$
Albania,Mortalidad_Media,1.8614208620097854,0.0,5.41530571793346,2.0114186077733662,1326.41652388077
Albania,Mortalidad_Media,1.8872730914008815,0.0,6.011121985034808,2.1220121209180887,1160.42047054038
Albania,Mortalidad_Media,1.680266746199849,0.0,8.891544075565896,2.2528122855197386,911.320465445326
Algeria,Mortalidad_Baja,2.2902321165523634,0.0,3.2753492459515794,2.320923264054695,4961.55257664733
Algeria,Mortalidad_Baja,2.594458822369141,0.0,2.754829106047141,2.3864646874663764,4160.55926736925
Algeria,Mortalidad_Media,2.785740988440757,0.0,2.6745586079219885,2.3593007940964905,3743.5419522929
Algeria,Mortalidad_Baja,2.656513914248531,0.0,2.5995948901286514,2.338281133277501,4468.45341883656
Algeria,Mortalidad_Baja,2.6043094609116837,0.0,2.678181010405223,2.32639930142887,4577.21029180491
Algeria,Mortalidad_Baja,2.7261500360976108,0.0,2.4556304836738883,2.38331487822889,4554.66753957828
Algeria,Mortalidad_Baja,2.8355574118441877,0.0,2.4328463921449863,2.4414130814477315,4424.98529027556
Algeria,Mortalidad_Media,2.844648104921359,0.0,2.40942085753606,2.4518538991714993,4685.05902729002
Algeria,Mortalidad_Media,2.5557771352891665,0.0,2.5235371171447305,2.3267593398611135,6094.69392314956
Algeria,Mortalidad_Media,2.5127916702085176,0.0,2.6153933990489375,2.2765373714905244,5979.60138960585
Algeria,Mortalidad_Media,2.466201085360781,0.0,2.6634919016225287,2.2476523414681586,6033.64884689543
Algeria,Mortalidad_Media,0.07344113823311368,0.0,0.58611308495687,0.5257315621853027,5916.31364364343
Algeria,Mortalidad_Media,2.460962290481755,0.0,2.792414252741098,2.214767076026295,4912.78585503672
Algeria,Mortalidad_Media,2.573180562483614,0.0,2.6716422850562638,2.207546972239709,4235.42990456612
Algeria,Mortalidad_Media,2.405885578261671,0.0,2.9710761024422365,2.175648638582681,5180.91881514686
Algeria,Mortalidad_Media,2.4265592228026462,0.0,3.138806414786814,2.1089292708143232,4167.45169937531
Algeria,Mortalidad_Media,2.404248399760771,0.0,3.347915377744456,2.062331719696292,3660.66104745322
Algeria,Mortalidad_Media,2.488319483428797,0.0,3.3268403120864365,2.050014063309289,3233.13339634212
Algeria,Mortalidad_Media,2.6129935491024425,0.0,3.359817095234279,2.455714817244845,2816.99384960555
Algeria,Mortalidad_Media,2.7046002631096173,0.0,3.385733572415046,2.372248584147614,2283.77299346126
Algeria,Mortalidad_Media,2.800247225288425,0.0,3.24353365080301,2.3327510054789573,1937.46411413019
Algeria,Mortalidad_Media,2.8049331732279983,0.0,3.51163594698755,2.24473096796818,1896.30020878013
Algeria,Mortalidad_Media,2.4590981982784386,0.0,4.707010084218177,2.2026873086488776,1772.92869122761
Algeria,Mortalidad_Media,0.8673291834608501,0.0,2.680118036516109,0.0,1466.94806760415
Angola,Mortalidad_Alta,3.289030254264917,0.0,5.89050622026786,2.0912170477439225,2929.69445467272
Angola,Mortalidad_Alta,3.460166767506415,0.0,5.569406194134399,2.080121629199962,1925.87466082167
Angola,Mortalidad_Alta,3.6819613157359963,0.0,4.9690198900858835,2.115210035242554,1449.92286669308
Angola,Mortalidad_Alta,3.6510528480354822,0.0,4.790438743993253,2.0652236033185862,2189.85571407618
