country,categoria_expectativa_vida,tsne_dim1,tsne_dim2,umap_dim1,umap_dim2,gdp_per_capita_current_us$
Barbados,Mortalidad_Baja,36.045696,20.22852,3.7675366,-8.464379,19065.8069800213
Barbados,Mortalidad_Baja,16.678612,43.44903,-2.5804598,3.8231785,18954.2913724506
Barbados,Mortalidad_Baja,17.197432,43.49815,-2.5571856,3.8103268,19277.9423599235
Barbados,Mortalidad_Baja,17.19082,43.496292,-2.5887403,3.8393462,19308.0091116993
Barbados,Mortalidad_Baja,17.771805,43.295883,-2.5929368,3.8702428,19034.0708028512
Barbados,Mortalidad_Baja,17.545635,43.241356,-2.6119213,3.8817992,19345.9953139542
Barbados,Mortalidad_Baja,17.10953,43.143013,-2.6122575,3.8815594,18860.3833703309
Barbados,Mortalidad_Baja,14.9501295,43.314342,-2.5076063,3.7072103,16294.9099491834
Barbados,Mortalidad_Baja,18.820923,42.02181,-2.6313345,3.9824834,17565.6929970592
Barbados,Mortalidad_Baja,14.5409975,43.260296,-2.479035,3.67175,17235.4396434785
Barbados,Mortalidad_Media,14.608638,43.49449,-2.5009813,3.6893983,15619.6005955511
Barbados,Mortalidad_Media,14.552455,43.275852,-2.504239,3.669332,14214.4202213572
Barbados,Mortalidad_Media,14.542149,43.272488,-2.5010622,3.694509,12886.3665272467
Barbados,Mortalidad_Media,15.35481,43.315723,-2.4974856,3.6966646,12075.9587020649
Barbados,Mortalidad_Media,15.480956,43.257435,-2.5362692,3.7468464,11760.4524736133
Barbados,Mortalidad_Media,15.136583,43.315193,-2.4976275,3.687408,11639.5160522054
Barbados,Mortalidad_Media,15.654964,43.25734,-2.512853,3.714404,11674.6736471764
Barbados,Mortalidad_Media,16.28502,37.959507,-2.9529228,4.9763703,8460.47380869104
Belarus,Mortalidad_Media,-2.0540519,48.78847,-5.074189,7.122135,7994.64806074889
Belarus,Mortalidad_Media,-2.6363235,48.233593,-5.021538,7.352195,7489.71894713888
Belarus,Mortalidad_Media,4.8894114,-21.2051,13.113832,11.170557,6542.85579976768
Belarus,Mortalidad_Media,4.9368954,-21.05742,13.142801,11.12664,6837.77339645635
Belarus,Mortalidad_Media,5.1734743,-20.52421,13.193768,11.044827,6360.037502312
Belarus,Mortalidad_Media,4.8231344,-21.018225,13.14303,11.092754,5785.54491935194
Belarus,Mortalidad_Media,3.85388,-21.367153,13.093156,11.282898,5039.77560949445
Belarus,Mortalidad_Media,3.5923944,-21.367634,13.078247,11.423574,5967.05595058777
Belarus,Mortalidad_Media,-7.0396776,-25.864359,12.905568,12.4171095,8341.31809294883
Belarus,Mortalidad_Media,-7.0619936,-25.9401,12.88918,12.423671,7998.0802045456
Belarus,Mortalidad_Media,-7.4258327,-26.268303,12.895081,12.509738,6953.21591683101
Belarus,Mortalidad_Media,-7.362575,-26.363125,12.883079,12.520598,6527.6593428786
Belarus,Mortalidad_Media,-7.2621975,-26.532974,12.898082,12.539109,6034.67885177216
Belarus,Mortalidad_Media,-7.474966,-26.593552,12.870202,12.57755,5352.48809190697
Belarus,Mortalidad_Media,-7.958839,-26.855871,12.855351,12.590993,6376.17569162063
Belarus,Mortalidad_Media,-7.929064,-26.882174,12.865784,12.579404,4735.48107556066
Belarus,Mortalidad_Media,-8.924025,-28.139397,12.742542,12.761188,3848.22350300163
Belarus,Mortalidad_Media,-9.847747,-28.92245,12.699814,12.84483,3126.07176665248
Belarus,Mortalidad_Media,-10.006622,-28.863493,12.725498,12.795316,2378.33700470129
Belarus,Mortalidad_Media,-9.643868,-28.963137,12.68212,12.845508,1819.52653114699
Belarus,Mortalidad_Media,-9.613077,-29.080112,12.663711,12.876259,1479.38066337175
Belarus,Mortalidad_Media,-9.232815,-29.076954,12.643293,12.880127,1244.37318523431
Belarus,Mortalidad_Media,-9.915797,-29.69001,12.657975,12.8926,1276.28038121269
Belarus,Mortalidad_Media,-16.731241,-34.481686,12.037143,13.60929,1370.69991385664
Belgium,Mortalidad_Baja,56.172386,-6.5330606,12.601905,1.1715333,50822.2518538518
Belgium,Mortalidad_Baja,56.1271,-6.990835,12.431911,1.1349375,51658.238294958
Belgium,Mortalidad_Baja,56.197006,-6.8939433,12.461566,1.1111739,45906.2875805246
Belgium,Mortalidad_Baja,56.507412,-8.952947,12.291868,1.1477976,46716.6227467964
Belgium,Mortalidad_Baja,56.646397,-9.100477,12.303008,1.1459162,47487.2100392561
Belgium,Mortalidad_Baja,56.37525,-9.218935,12.30096,1.1540902,44035.3239358548
Belgium,Mortalidad_Baja,56.043636,-8.426623,12.311673,1.1475588,41854.5498296444
Belgium,Mortalidad_Baja,56.259155,-8.588509,12.3047905,1.1446555,40893.804537772
Belgium,Mortalidad_Baja,56.26754,-8.747923,12.299151,1.147968,47995.7786961339
Belgium,Mortalidad_Baja,55.723858,-9.072026,12.28898,1.1413404,46964.5946777056
Belgium,Mortalidad_Baja,56.29014,-9.690985,12.280128,1.1596226,44874.1709182123
