country,categoria_expectativa_vida,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,gdp_per_capita_current_us$
Angola,Mortalidad_Alta,-1.9092644157071965,0.3405659181954102,-0.24909731982671537,-0.509869417181262,-0.2659066649189907,-0.8332147862027696,-0.8922390845460062,0.22100625949775768,5057.74787833163
Angola,Mortalidad_Alta,-2.105928544175356,0.3891786146176852,-0.3170724292487804,-0.36063214292251705,-0.34549245004796864,-0.8884539168523639,-1.0583962671663305,0.27878484193653674,5086.02740086376
Angola,Mortalidad_Alta,-2.2221442368603914,0.41693926072964715,-0.30370289782298043,-0.3272210224441265,-0.27210846807122696,-0.9398748393801758,-1.1389271134581318,0.32878788504366285,4615.91059831778
Angola,Mortalidad_Alta,-2.2578174399985667,0.4252297864029609,-0.20606017256694742,-0.4226686295622933,-0.02170525202215843,-1.0239647028477943,-1.0554482682485016,0.37163680557365214,3597.34293216332
Angola,Mortalidad_Alta,-2.1190907428578045,0.4275918621178075,-0.003000056188978253,-0.6825210410361945,0.5124107166349361,-1.0946904667242683,-0.8610252756470722,0.3857631876814538,3136.64546955947
Angola,Mortalidad_Alta,-2.195446943634363,-0.5883378791486076,0.4332646823404784,1.2458500151218443,0.09031573323715425,-1.3848195191323547,-1.6002606657357725,0.5007189006527224,4103.0669003635
Angola,Mortalidad_Alta,-2.822888804707632,0.5986952598222482,-0.32287423016176886,-0.0338920947088428,0.027993392842474072,-1.1310945574061182,-1.5693452604724334,0.5723011531761474,3141.0459797605
Angola,Mortalidad_Alta,-2.8859122671411384,0.614487324145794,-0.22315395862307658,-0.12455178940171888,0.28936219285156545,-1.2450555346869479,-1.5360248251487056,0.6142204357320233,2617.05196022633
Angola,Mortalidad_Alta,-2.8261794886811757,0.7716971615061519,-0.2711926169521294,0.0687597830412191,0.6299313361566337,-0.9256557071869846,-1.9112359737729194,0.6572603811154029,1916.46842218625
Angola,Mortalidad_Alta,-2.963475544290298,0.7124792241927084,-0.10363895230938512,-0.14229706850675977,0.8459739460118041,-1.2013513061606003,-1.568556008431169,0.7036510844452097,1266.21086410236
Angola,Mortalidad_Alta,-3.024951851084152,0.7536061204904609,-0.06476020799797488,-0.14286223132762688,1.038467457037819,-1.2384279452730258,-1.6138475676844142,0.753883015007972,992.698979254665
Angola,Mortalidad_Alta,-3.321374673511207,0.8101335441980128,-0.11313304139872336,0.010678964847456604,1.0095801554153427,-1.3554218211790303,-1.8177597988833998,0.7103348459166708,882.147847234303
Angola,Mortalidad_Alta,-4.013261134395964,0.8590888478380146,-0.3461117151434352,0.512119714274698,0.4206878977170937,-1.3761763983941502,-1.9792300329079415,0.7809725866288783,533.586202412447
Angola,Mortalidad_Alta,-3.8265622123090823,-0.3171415029795767,0.34658832741812623,1.9161659711033587,0.25147101149322776,-2.021724848967097,-2.2107551878804172,0.8770587567275498,563.733795571487
Angola,Mortalidad_Alta,-3.7602638744446195,0.9840770698082552,-0.18793637574426103,0.35688563801526213,1.2110611604551298,-1.303727672603021,-2.145033551359117,0.9717319371483447,404.29481849612
Argentina,Mortalidad_Baja,0.9919409799498402,-0.9499028616094597,0.24363387620899615,0.3974103688387578,-0.4592609344013124,0.03200026202381184,-0.12674419179813715,-0.023594477421161556,13935.6811110049
Argentina,Mortalidad_Media,1.00533131392263,-0.8602958899406085,0.23290588208565952,0.5079105772335138,-0.21235624050615734,0.2602137954853429,-0.3462286877170467,-0.1875262825498551,10738.0179223384
Argentina,Mortalidad_Baja,1.103663227321636,-0.9458252093121495,0.3004932301559378,0.3378952019048445,-0.30346602692838287,0.14794869602568425,-0.20100705596230561,-0.020212065489634074,8535.59938004389
Argentina,Mortalidad_Baja,0.9346077347280882,-1.0707526475988565,0.3216015879085332,0.18742536597026463,-0.6741007432688483,-0.3406803814029225,0.11508977343133657,0.11632980772325795,9955.97478680428
Argentina,Mortalidad_Baja,0.9734826518763149,-1.0749479827819803,0.34624283465835554,0.12809650229212075,-0.6504078335535041,-0.4259718999630329,0.1230861346899551,0.12797067883574303,11752.7998922979
Argentina,Mortalidad_Baja,1.0698461679789748,-1.028091618242628,0.3468525414989163,0.15314966700407998,-0.4542260925603212,-0.2722075996297205,0.09547008599035514,0.08598088157371565,14532.5009308511
Argentina,Mortalidad_Baja,0.8932502075127917,-1.0488454794214697,0.3281345664364708,0.20517567110416696,-0.5686089443966462,-0.33644569482542663,0.17588703034114544,0.06564770889286792,12699.9623137756
Argentina,Mortalidad_Baja,0.49902144384041236,0.13138312119977888,-0.48988368649824593,-1.0870514877393842,-0.7779510851820814,-0.017507199770125395,0.13012193813594936,0.14070891021474025,13679.6264980954
Argentina,Mortalidad_Baja,0.6944183320023339,-1.0552865231971782,0.25418884575775613,0.3309335700986573,-0.8065006316718741,-0.3918049734732622,0.16854192207933,0.11402785489310323,12233.1444119186
Argentina,Mortalidad_Baja,0.7326162856334107,-1.0490289895608347,0.2789865663985038,0.28245784256133133,-0.7294835739882973,-0.44538019107987215,0.14607797818457927,0.09861833821886808,12963.675773326
Argentina,Mortalidad_Baja,0.7043992342698865,-1.0557376517224728,0.28160779932442437,0.2783243407215162,-0.7591430613991688,-0.4820317303875925,0.13249843760657248,0.1176772839500806,12949.717486654
Argentina,Mortalidad_Baja,0.6018979798673514,-1.0468143128210896,0.24156330722073646,0.3849304508757858,-0.8371780699701593,-0.38417756155296595,0.1336618496710851,0.1432440829355277,12704.2831819684
Argentina,Mortalidad_Baja,0.5548581415041633,-1.0427965286138843,0.24588241578772246,0.4002101418061497,-0.8271837034847493,-0.3853345360261317,0.11019887961801789,0.12556196210678186,10260.1313108254
Argentina,Mortalidad_Baja,0.6608660784683188,-1.0649582491906988,0.3097728540018242,0.26336561816913123,-0.758439657235609,-0.49519622951446773,0.05530513611807284,0.1482020858962363,8150.23527028221
Argentina,Mortalidad_Baja,0.4905500667043916,-1.0170359055058367,0.20733846342722606,0.4749136437779504,-0.8559282072897453,-0.3802524303371238,0.07002332917086432,0.12862466640831297,8944.1102657357
Argentina,Mortalidad_Media,0.40283791405296127,-1.0165963119588175,0.20522464630269904,0.501950835014417,-0.8814157095038538,-0.4086570122281354,0.042568614989627364,0.09646375655131494,7185.25155147027
Argentina,Mortalidad_Baja,0.35540557202893497,-1.046145853110906,0.19915101475779529,0.4922016492762912,-1.0060594155647882,-0.4815633872730231,0.045031874563682295,0.1626297301728012,5869.38028970204
Argentina,Mortalidad_Baja,0.2929214714114792,-1.0509172849084945,0.2117305281135119,0.5178069575967517,-1.0024343603628127,-0.42364563179803416,0.08094233067965624,0.1586755131159483,5067.65342293276
Argentina,Mortalidad_Media,0.2875278164503937,-1.0099126509692482,0.1886861346302224,0.5875413043313189,-0.9372243564915376,-0.3313290812611513,0.014240918855855367,0.13210835929716566,4242.02099089422
Argentina,Mortalidad_Media,0.3882149021951068,-0.9886429033696822,0.3001851351062772,0.5219983530290812,-0.5870314588003218,-0.09526812454608968,0.08134091720726065,0.04897307533335192,3320.47775133903
Argentina,Mortalidad_Media,0.494005562485903,-1.0335331707857291,0.4176353767431258,0.33544091069251436,-0.40991879160899525,-0.1448807580418746,0.20459881361005777,0.05139471540634581,2569.69963519124
Argentina,Mortalidad_Media,0.937204413437927,-1.1449107730608346,0.6822928301660338,-0.28594122535478056,-0.08404696901191805,-0.7208376987162703,0.36998625227154575,0.10570543166318269,7141.47507662826
Argentina,Mortalidad_Media,0.8754164498785771,-1.1108145344061024,0.6198949538855115,-0.18833569396641658,-0.13280226159775257,-0.7197227584057988,0.3202003476726538,0.10269910437411725,7637.01489203628
Argentina,Mortalidad_Media,1.0324581930914447,-0.9238463912087249,0.5815059165543324,0.03314050165378258,0.3704070793161181,-0.170141269000912,-0.13398078524420837,0.0702782024559161,7357.6162773788
Armenia,Mortalidad_Media,0.9131564370534354,-0.9659390378129521,0.3972215724776609,0.36259975318225246,-0.16153597336996547,0.3458700881048214,-0.041365516400438014,-0.1358660934726293,6571.97445545099
Armenia,Mortalidad_Media,0.5546104881912064,-0.9744802210510417,0.38878602358772224,0.4617648075145461,-0.29481958058098967,0.2065026963396946,-0.041058126959941495,-0.29499161947349867,4685.17997128509
Armenia,Mortalidad_Media,0.5705417676716884,-1.002347592492549,0.3970315592609796,0.43430519725177746,-0.36001633307769054,0.2000590008696415,0.020035832535648637,-0.1966398791044805,4268.68093304583
Armenia,Mortalidad_Baja,0.620203512216244,-1.082781485428733,0.4213986246459564,0.348734173015344,-0.5395160062598024,0.17018614539289365,0.2192762950013223,0.03613636577228753,4597.22887399548
Armenia,Mortalidad_Baja,0.47504051080862303,-1.052909749400248,0.42154390714469103,0.47115816008462647,-0.5090305975040277,0.3468643605296552,0.2400032548200361,-0.02629581458724842,4196.00562301769
Armenia,Mortalidad_Baja,0.4053395515422279,-0.9982685724633885,0.37271078152871984,0.6103084135342647,-0.4950316965689955,0.48222638084305763,0.1644939662237256,-0.060120977086974364,3869.05373867752
