country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,services_value_added_of_gdp,tiene_dato_gini,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,gdp_per_capita_current_us$
Australia,Mortalidad_Baja,0.8,0.2416615153999087,0.969794412873666,0.7032999284127063,1.0,0.04857685009487666,0.004704741686521673,0.014360248203575622,49888.0410842736
Australia,Mortalidad_Baja,0.81,0.2463802508248559,0.9690965018957007,0.692208501078074,0.0,0.050721062618595825,0.004589553666668105,0.015138824606229168,56739.0265346593
Australia,Mortalidad_Baja,0.877,0.2505000054584776,0.9676657843908718,0.6746249090339346,1.0,0.05658064516129032,0.003961946655069917,0.017025911654107946,62544.0873773726
Australia,Mortalidad_Baja,0.88,0.2563448500467474,0.9655022603591801,0.6810569723651522,0.0,0.05844402277039848,0.004063547405227835,0.017031030250171414,68190.7010035651
Australia,Mortalidad_Baja,0.87,0.2563606695594466,0.9640366473054525,0.668720566114736,0.0,0.05943074003795066,0.004078492826226153,0.017774848707004055,68072.8732340801
Australia,Mortalidad_Baja,0.87,0.26401500245458326,0.9618731232737605,0.662612802173927,0.0,0.06273244781783682,0.0041226965152411236,0.018707247223634222,62605.600458306
Australia,Mortalidad_Baja,0.87,0.2669984972472897,0.9590116882641033,0.6750315305559124,1.0,0.06603415559772297,0.003964513786006912,0.020790017509922765,52144.6654705468
Australia,Mortalidad_Baja,0.86,0.27075710644630446,0.9568481642324114,0.6564791488202056,0.0,0.06853889943074004,0.004186466297875065,0.020932028430949583,42816.5674002829
Australia,Mortalidad_Baja,0.87,0.275734878921962,0.9547195357496172,0.6610253727309701,1.0,0.07263757115749525,0.004212070137511712,0.021641664046374253,49701.2817843335
Australia,Mortalidad_Baja,0.88,0.27121334915536943,0.9532539226958909,0.6595035449394542,0.0,0.07514231499051233,0.0039222605081290635,0.023782196045520683,41051.6120652288
Australia,Mortalidad_Baja,0.88,0.2675634373036655,0.9496596811593703,0.6525254626805312,0.0,0.07848197343453511,0.004855737224854082,0.01954779381325144,36595.7071548423
Australia,Mortalidad_Baja,0.88,0.26057332673174866,0.9467982461497118,0.6600183633474918,0.0,0.08015180265654648,0.005131024271253682,0.018781947861964982,34479.7679298388
Australia,Mortalidad_Baja,0.86,0.2618558165215329,0.9417732871083626,0.6590451920180534,1.0,0.07833017077798862,0.0055700831498083315,0.01751428462184882,30836.7306824685
Australia,Mortalidad_Baja,0.85,0.2601594154308824,0.938179045571842,0.6593194427662147,1.0,0.07903225806451614,0.005314959787443605,0.01922998343304322,23718.1338501868
Australia,Mortalidad_Baja,0.8300000000000001,0.2538783825006731,0.9338519975084583,0.6557001284269741,0.0,0.07717267552182165,0.007436742483586513,0.013189374864307902,20301.8431713256
Australia,Mortalidad_Baja,0.87,0.25416425535461107,0.9295249494450732,0.6581198509141135,1.0,0.08254269449715369,0.00628886588783621,0.015682551759320176,19695.7297379144
Australia,Mortalidad_Baja,0.87,0.26320623514707125,0.9238020794257586,0.6604322327267844,0.0,0.08419354838709676,0.005593862539106144,0.018468145165552653,21870.4159669594
Australia,Mortalidad_Baja,0.7000000000000001,0.23800701134935134,0.9037022432603605,0.6386782452173241,1.0,0.07703984819734346,0.006727010802550519,0.02228564323034637,20448.1219685874
Austria,Mortalidad_Baja,0.8290000000000001,0.16036772288743545,0.9532888182447885,0.6449486863931574,1.0,0.042472485768500955,0.002594659457833348,0.022774623370618596,52176.6649141178
Austria,Mortalidad_Baja,0.848,0.17249560905479447,0.9517883096421631,0.6368494195717458,1.0,0.0450550284629981,0.0022435026759550767,0.027272424672846247,53648.7190742245
Austria,Mortalidad_Baja,0.84,0.16412854182503575,0.9518232051910622,0.6426923912919609,1.0,0.04622390891840607,0.00199560943359553,0.03263700589289042,48716.4098900349
Austria,Mortalidad_Baja,0.774,0.17432229428561952,0.9618731232737605,0.63983089211142,1.0,0.04259203036053131,0.0021117091083885913,0.033557196816457815,49885.9947355204
Austria,Mortalidad_Baja,0.735,0.172078217626238,0.9589767927152058,0.6362006248596449,1.0,0.041840607210626185,0.0023610204207116874,0.032611445084072904,51194.0749841299
Austria,Mortalidad_Baja,0.752,0.1777550397424009,0.9582788817372401,0.6317869699636156,1.0,0.04280834914611006,0.0024965414900946325,0.029894128191137022,47163.7425775142
Austria,Mortalidad_Baja,0.72,0.1757696800421018,0.9582439861883425,0.6307424840109433,1.0,0.04098671726755218,0.0024974982397510674,0.031356233539374674,45061.4993920192
Austria,Mortalidad_Baja,0.6900000000000001,0.17569275095886183,0.9517883096421631,0.6352899278536839,1.0,0.04058823529411765,0.002593264023468363,0.03268857340473506,43915.228020857
Austria,Mortalidad_Baja,0.755,0.17359668164391628,0.9560804621566492,0.6316232139355924,1.0,0.04584440227703985,0.00264340742499629,0.030007010543189848,51314.9722616322
Austria,Mortalidad_Baja,0.78,0.18169388766967953,0.9510206075664025,0.6287115607336712,1.0,0.04884250474383301,0.002563280230665904,0.030986311043330578,50305.3545774973
Austria,Mortalidad_Baja,0.79,0.18050320582248133,0.9481591725567451,0.6260629896604144,1.0,0.050967741935483875,0.0028077754536087363,0.028540870439479518,48250.4059142637
Austria,Mortalidad_Baja,0.79,0.1818220314907779,0.9488221879858114,0.6295607575741657,1.0,0.052466793168880456,0.002894176809567608,0.028498844206228086,51116.8953522042
