country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Argentina,Mortalidad_Media,0.54,0.08037615491497752,0.8481722583875813,0.09194681795025728,0.6666666666666666,10738.0179223384
Argentina,Mortalidad_Baja,0.49700000000000005,0.07492422319757237,0.8757851062307747,0.0801233357854843,0.6666666666666666,8535.59938004389
Argentina,Mortalidad_Baja,0.335,0.08203584925183587,0.8896487588525643,0.06698077456683571,0.6666666666666666,9955.97478680428
Argentina,Mortalidad_Baja,0.326,0.08339845838263572,0.8885471063738464,0.05710083512758147,0.6666666666666666,11752.7998922979
Argentina,Mortalidad_Baja,0.38200000000000006,0.08655671896151582,0.8852993776378855,0.06588057719224434,0.6666666666666666,14532.5009308511
Argentina,Mortalidad_Baja,0.34,0.08725472931906407,0.8790328349667358,0.07895309931509677,0.6666666666666666,12699.9623137756
Argentina,Mortalidad_Baja,0.34,0.08864180716316071,0.8861148866156376,0.06493221091385791,0.6666666666666666,13679.6264980954
Argentina,Mortalidad_Baja,0.295,0.08826398045050013,0.8813649044996066,0.08462455205709515,0.6666666666666666,12233.1444119186
Argentina,Mortalidad_Baja,0.3,0.08904976797915645,0.8750840546534084,0.07627457405714505,0.6666666666666666,12963.675773326
Argentina,Mortalidad_Baja,0.29,0.08761391538208779,0.8746977609271049,0.07284270066325267,0.6666666666666666,12949.717486654
Argentina,Mortalidad_Baja,0.29,0.08611248338145704,0.8789612990914941,0.08824443741911632,0.6666666666666666,12704.2831819684
Argentina,Mortalidad_Baja,0.29,0.08429297825948039,0.872952285571214,0.08993312110570456,0.6666666666666666,10260.1313108254
Argentina,Mortalidad_Baja,0.29,0.07949864450342391,0.8714786465412403,0.06641212633328282,0.6666666666666666,8150.23527028221
Argentina,Mortalidad_Baja,0.29,0.08723333726816977,0.8693468774590456,0.09229702507467899,0.6666666666666666,8944.1102657357
Argentina,Mortalidad_Media,0.28,0.08521479637847186,0.8601187495529008,0.0939852742724108,0.6666666666666666,7185.25155147027
Argentina,Mortalidad_Baja,0.25,0.0823422209767159,0.8672151083768509,0.08744509081718274,0.6666666666666666,5869.38028970204
Argentina,Mortalidad_Baja,0.25,0.07902007968079329,0.8665283639745331,0.10014096371908468,0.6666666666666666,5067.65342293276
Argentina,Mortalidad_Media,0.28,0.08034165017059978,0.8613777809571499,0.10550355193482121,0.6666666666666666,4242.02099089422
Argentina,Mortalidad_Media,0.35000000000000003,0.07329093067807574,0.8533085342299163,0.13038042178310696,0.6666666666666666,3320.47775133903
Argentina,Mortalidad_Media,0.35000000000000003,0.06843080518106,0.8533800701051577,0.12884251006447148,0.6666666666666666,2569.69963519124
Argentina,Mortalidad_Media,0.3,0.0700180321784176,0.8511195364475284,0.05748949770751036,0.6666666666666666,7141.47507662826
Argentina,Mortalidad_Media,0.3,0.07581275072648318,0.8476285857357464,0.058898336330707325,0.6666666666666666,7637.01489203628
Argentina,Mortalidad_Media,0.5,0.06949548517266559,0.8326632806352385,0.06739725299062808,0.6666666666666666,7357.6162773788
Armenia,Mortalidad_Media,0.508,0.06208831116808024,0.859873433844146,0.12808389792644229,0.6666666666666666,6571.97445545099
Armenia,Mortalidad_Media,0.45,0.0585583597941699,0.8242799739679203,0.14323068665828298,0.6666666666666666,4685.17997128509
Armenia,Mortalidad_Media,0.434,0.05678446226097997,0.8399829709721383,0.14330986944749644,0.6666666666666666,4268.68093304583
Armenia,Mortalidad_Baja,0.386,0.053526037628976585,0.8807060765364074,0.1455347951029203,0.6666666666666666,4597.22887399548
Armenia,Mortalidad_Baja,0.405,0.04931418111218477,0.8720868759585376,0.17611960245745661,0.3333333333333333,4196.00562301769
Armenia,Mortalidad_Baja,0.434,0.05087490779859325,0.8663291103903239,0.1894326446443009,0.3333333333333333,3869.05373867752
Armenia,Mortalidad_Media,0.37,0.04795724798561283,0.8613390468978726,0.207102567243804,0.3333333333333333,3524.42476874707
Armenia,Mortalidad_Media,0.36,0.04987961396899407,0.8613739424467717,0.21764021075213322,0.3333333333333333,3512.39350276709
Armenia,Mortalidad_Media,0.267,0.04809077199119721,0.8614088379956693,0.22838375860897847,0.3333333333333333,3852.11800610384
Armenia,Mortalidad_Media,0.26,0.044091586919600585,0.8578145964591486,0.23297428164762876,0.3333333333333333,3680.16692158886
Armenia,Mortalidad_Media,0.26,0.045142310790510724,0.8506261133861077,0.22636703265856,0.3333333333333333,3511.56399687426
Armenia,Mortalidad_Media,0.27,0.04117463898013157,0.8462990653227227,0.129850900433958,0.3333333333333333,3349.55309771906
Armenia,Mortalidad_Media,0.29,0.03740069296740115,0.8370866404135817,0.1280759822876777,0.3333333333333333,3041.34450723339
Armenia,Mortalidad_Media,0.3,0.03905796133112301,0.835655922908753,0.09598953458077568,0.3333333333333333,2820.5926553347
Armenia,Mortalidad_Media,0.29,0.04471417926797726,0.835655922908753,0.09283303904971496,0.3333333333333333,3777.66859313767
Armenia,Mortalidad_Media,0.29,0.04216005930784012,0.8327944878990958,0.11903296378932822,0.3333333333333333,2962.70234594569
Armenia,Mortalidad_Media,0.31,0.03752353691520612,0.8320965769211317,0.1433067855557604,0.3333333333333333,2041.65267068997
Armenia,Mortalidad_Media,0.3,0.03660785806705981,0.8356908184576521,0.3170291948402192,0.3333333333333333,1557.48458908655
Armenia,Mortalidad_Media,0.25,0.03026777547663469,0.8349929074796867,0.21177270830732978,0.3333333333333333,1130.08791444158
Armenia,Mortalidad_Media,0.25,0.028441747119434483,0.8321314724700293,0.32561125048321266,0.3333333333333333,882.030167695474
Armenia,Mortalidad_Media,0.25,0.0267644380417223,0.8321314724700293,0.3000856221017393,0.3333333333333333,742.651118319819
Armenia,Mortalidad_Media,0.3,0.028533292182499843,0.8342601009528234,0.4603397696596856,0.3333333333333333,659.588988535629
Armenia,Mortalidad_Media,0.3,0.028577276176492073,0.8328991745457914,0.3526141915628037,0.3333333333333333,593.450581742282
Armenia,Mortalidad_Media,0.254,0.02262788388170039,0.7720650662404749,0.35917968561533997,0.3333333333333333,443.924860857976
Australia,Mortalidad_Baja,0.87,0.2264688652679761,0.9805422419343299,0.033502549688976466,1.0,64997.0136536475
Australia,Mortalidad_Baja,0.898,0.23487558835354838,0.9819729594391586,0.028827724838060034,1.0,60607.7788605166
Australia,Mortalidad_Baja,0.893,0.242221851505143,0.9805422419343299,0.025137469751440926,1.0,51791.540179984
Australia,Mortalidad_Baja,0.799,0.24532236075362507,0.976250089419844,0.026447722228124044,1.0,54972.7017885437
Australia,Mortalidad_Baja,0.774,0.24468818766815312,0.9740865653881521,0.03080450086961993,1.0,57196.4220783778
Australia,Mortalidad_Baja,0.748,0.2466244429666687,0.9705272194005292,0.03392295940721603,1.0,53901.7145392154
Australia,Mortalidad_Baja,0.8,0.2416615153999087,0.969794412873666,0.03011496516147589,1.0,49888.0410842736
Australia,Mortalidad_Baja,0.81,0.2463802508248559,0.9690965018957007,0.029740829114421805,1.0,56739.0265346593
Australia,Mortalidad_Baja,0.877,0.2505000054584776,0.9676657843908718,0.02777602328828369,1.0,62544.0873773726
Australia,Mortalidad_Baja,0.88,0.2563448500467474,0.9655022603591801,0.02859535142186667,1.0,68190.7010035651
Australia,Mortalidad_Baja,0.87,0.2563606695594466,0.9640366473054525,0.028371840177889497,1.0,68072.8732340801
Australia,Mortalidad_Baja,0.87,0.26401500245458326,0.9618731232737605,0.02868290419028267,1.0,62605.600458306
Australia,Mortalidad_Baja,0.87,0.2669984972472897,0.9590116882641033,0.027569762831645625,1.0,52144.6654705468
Australia,Mortalidad_Baja,0.86,0.27075710644630446,0.9568481642324114,0.02879303052274439,1.0,42816.5674002829
Australia,Mortalidad_Baja,0.87,0.275734878921962,0.9547195357496172,0.02931183173377754,1.0,49701.2817843335
Australia,Mortalidad_Baja,0.88,0.27121334915536943,0.9532539226958909,0.02758967895168375,1.0,41051.6120652288
Australia,Mortalidad_Baja,0.88,0.2675634373036655,0.9496596811593703,0.034234115589787666,1.0,36595.7071548423
