country,categoria_expectativa_vida,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,gdp_per_capita_current_us$
Australia,Mortalidad_Baja,0.27121334915536943,0.9532539226958909,0.02758967895168375,0.14852888523950544,0.0039222605081290635,41051.6120652288
Australia,Mortalidad_Baja,0.2675634373036655,0.9496596811593703,0.034234115589787666,0.14653334742503146,0.004855737224854082,36595.7071548423
Australia,Mortalidad_Baja,0.26057332673174866,0.9467982461497118,0.03619359385455915,0.1427116030815065,0.005131024271253682,34479.7679298388
Australia,Mortalidad_Baja,0.2618558165215329,0.9417732871083626,0.03841771046174835,0.14674796735790344,0.0055700831498083315,30836.7306824685
Australia,Mortalidad_Baja,0.2601594154308824,0.938179045571842,0.03621312339974163,0.14751419596106075,0.005314959787443605,23718.1338501868
Australia,Mortalidad_Baja,0.2538783825006731,0.9338519975084583,0.04959793866295839,0.1474278172991962,0.007436742483586513,20301.8431713256
Australia,Mortalidad_Baja,0.25416425535461107,0.9295249494450732,0.04392636806349902,0.1408076203153181,0.00628886588783621,19695.7297379144
Australia,Mortalidad_Baja,0.26320623514707125,0.9238020794257586,0.03903558778926816,0.14580801790874123,0.005593862539106144,21870.4159669594
Australia,Mortalidad_Baja,0.23800701134935134,0.9037022432603605,0.0377595920959072,0.1638984769666914,0.006727010802550519,20448.1219685874
Austria,Mortalidad_Baja,0.16036772288743545,0.9532888182447885,0.017069544741649994,0.09333477741131661,0.002594659457833348,52176.6649141178
Austria,Mortalidad_Baja,0.17249560905479447,0.9517883096421631,0.01505967610820643,0.09812451776379215,0.0022435026759550767,53648.7190742245
Austria,Mortalidad_Baja,0.16412854182503575,0.9518232051910622,0.013230215663002686,0.09426662405854523,0.00199560943359553,48716.4098900349
Austria,Mortalidad_Baja,0.17432229428561952,0.9618731232737605,0.01289171629802597,0.10864142082479418,0.0021117091083885913,49885.9947355204
Austria,Mortalidad_Baja,0.172078217626238,0.9589767927152058,0.013707749625319995,0.11293710548767166,0.0023610204207116874,51194.0749841299
Austria,Mortalidad_Baja,0.1777550397424009,0.9582788817372401,0.014856725124366015,0.11401602161153294,0.0024965414900946325,47163.7425775142
Austria,Mortalidad_Baja,0.1757696800421018,0.9582439861883425,0.014216106221053612,0.11775671796220677,0.0024974982397510674,45061.4993920192
Austria,Mortalidad_Baja,0.17569275095886183,0.9517883096421631,0.01414455018830743,0.12282293366479691,0.002593264023468363,43915.228020857
Austria,Mortalidad_Baja,0.17359668164391628,0.9560804621566492,0.015814197259060428,0.11091304299342018,0.00264340742499629,51314.9722616322
Austria,Mortalidad_Baja,0.18169388766967953,0.9510206075664025,0.015843202678112275,0.11235273928850498,0.002563280230665904,50305.3545774973
Austria,Mortalidad_Baja,0.18050320582248133,0.9481591725567451,0.017612853641276096,0.11020540096546176,0.0028077754536087363,48250.4059142637
Austria,Mortalidad_Baja,0.1818220314907779,0.9488221879858114,0.018164956062422088,0.11100859515478997,0.002894176809567608,51116.8953522042
Austria,Mortalidad_Baja,0.18820132147350313,0.9430644224175992,0.016033492815943635,0.11205684266579584,0.0024973881151924087,46611.1393420232
Austria,Mortalidad_Baja,0.17680606894259232,0.9395050764299762,0.014561229866816926,0.10528823731134414,0.0022726750303300527,47857.4446635266
Austria,Mortalidad_Baja,0.1864778777717302,0.9409357939348051,0.017199772287962507,0.10457772820023559,0.002519852180406717,51581.3982361071
Austria,Mortalidad_Baja,0.18565132190244352,0.9373415523982844,0.018173269814614874,0.1029185832442273,0.0026292270327736575,46622.9622913635
Austria,Mortalidad_Baja,0.1900592118792967,0.9330493998837985,0.016471781761140742,0.10911895819580876,0.0024727030365688163,40382.2078298575
Austria,Mortalidad_Baja,0.18909750435159048,0.9251979013816896,0.015900723176494793,0.1139965260795674,0.0025080873834222245,38157.37022862
Austria,Mortalidad_Baja,0.1839996977489044,0.9230343773499978,0.018568287531342664,0.11377503266823573,0.0029952102860167436,36614.2506533707
Austria,Mortalidad_Baja,0.1831844189626593,0.9151828788478888,0.018489246716122083,0.11327214406055772,0.0029826821977068673,32110.1159661425
Austria,Mortalidad_Baja,0.17458865032953738,0.9158458942769554,0.019821926095103238,0.1093722220242879,0.0032353932884693535,26334.862215032
Austria,Mortalidad_Baja,0.17398875800126143,0.9143802812232291,0.021290241942200222,0.11043156080420924,0.003516819007890787,24430.495982841
Austria,Mortalidad_Baja,0.16527115867667375,0.9079595002259488,0.020817437954810804,0.10631161159497733,0.003485772177804775,24487.2974685956
Austria,Mortalidad_Baja,0.1561345928798873,0.8870919619847886,0.02732400438022199,0.08370872761562786,0.003798603986265245,30207.0674314652
Azerbaijan,Mortalidad_Media,0.07938595797055296,0.8507046283711281,0.05804151864739055,0.13430758547094915,0.025232118806010808,7770.594223351
Azerbaijan,Mortalidad_Media,0.07522862728529718,0.8059803991701837,0.07213701728460183,0.07780291232841262,0.019143224447341532,5408.04535175023
Azerbaijan,Mortalidad_Media,0.07113479037755241,0.7961513699120109,0.08495668455342432,0.08899768760355314,0.027245321893139628,4229.91064904503
Azerbaijan,Mortalidad_Media,0.07352895999729414,0.8387581372058088,0.07174971270815267,0.07962864910773064,0.019935449935959023,4805.75371765917
Azerbaijan,Mortalidad_Media,0.06783274995491087,0.8348379712425782,0.06563706295032913,0.08233935430223047,0.02043967931746686,4739.7943123408
Azerbaijan,Mortalidad_Media,0.06817681880435308,0.8302310608770298,0.07063587740949685,0.08781633878029357,0.023333620623191012,4147.1981423222
Azerbaijan,Mortalidad_Media,0.06827660180955429,0.8284283568209456,0.0706073107251731,0.11402397150952864,0.030241067660561026,3880.6852276838
Azerbaijan,Mortalidad_Media,0.06966812937959173,0.8252950854853709,0.0778529859381432,0.12048733584922572,0.034520360585435526,5500.50364628486
Azerbaijan,Mortalidad_Media,0.07037540562073807,0.8193003791401388,0.06699154095812504,0.15011781563001655,0.03666470376951295,7890.84028062087
Azerbaijan,Mortalidad_Media,0.0690640758142682,0.8129336862436511,0.06758455419560834,0.13935761335144534,0.03498417782997023,7875.34536661549
Azerbaijan,Mortalidad_Media,0.06903587295699776,0.8071392803490949,0.06471812374211539,0.13930107513217627,0.03350759380556861,7495.86527658099
Azerbaijan,Mortalidad_Media,0.06433700200657297,0.7997710851992272,0.06391394172056779,0.13552826781069874,0.03453217628201879,7189.81869211976
Azerbaijan,Mortalidad_Media,0.06015407353467646,0.7961084483868659,0.06984106887320561,0.1534683122114952,0.04565883284656053,5843.5337683582
Azerbaijan,Mortalidad_Media,0.06411824185552446,0.7898848272408612,0.07714799578845431,0.14793452406270857,0.04561210572927169,4950.39949009423
Azerbaijan,Mortalidad_Media,0.07321048574391048,0.7824594033908003,0.07017423683157234,0.1476699141773348,0.03631820077962005,5574.46810432575
Azerbaijan,Mortalidad_Media,0.06727671531755017,0.7725016095571928,0.08243992468579361,0.14811763074557197,0.04651267996492559,3851.33015175141
Azerbaijan,Mortalidad_Media,0.07193892852150971,0.7700693897989841,0.08941259192863027,0.18331051655914912,0.05839383493911244,2472.95725732287
Azerbaijan,Mortalidad_Media,0.07381284258582288,0.7589241004363687,0.11543880557317554,0.19850327719754726,0.07951377788717523,1578.36733030667
Azerbaijan,Mortalidad_Media,0.07099455433969862,0.755747907575649,0.13873124798109088,0.17187316838136601,0.0859607602499467,1045.0136328106
Azerbaijan,Mortalidad_Media,0.06808663950880083,0.7492810644538235,0.15692549808591877,0.16487777817326665,0.09720764286997435,883.692580745256
Azerbaijan,Mortalidad_Alta,0.06520629211586029,0.745461048715931,0.17627561465443023,0.2105982736526537,0.1455587081825701,763.108895463487
Azerbaijan,Mortalidad_Alta,0.06504099986841987,0.7350740396308748,0.18744823886593368,0.1853542022822021,0.13655935817495782,703.670998584686
Azerbaijan,Mortalidad_Alta,0.0646875707169902,0.7255454610487158,0.20323490279426035,0.10446723291226184,0.08388938235044062,655.097249579917
Azerbaijan,Mortalidad_Alta,0.08352250495341328,0.6762429358323199,0.32042061324398086,0.22445653503962867,0.22030345452993733,314.55801908334
Bahrain,Mortalidad_Baja,0.4962033886149533,0.9489519994277129,0.002786550566378101,0.5744094554621006,0.0009258397451316853,30470.5219276023
Bahrain,Mortalidad_Baja,0.49454496236008144,0.9073324272122469,0.0030708659283629055,0.3698081038080573,0.0006526390936806884,27147.8083882286
Bahrain,Mortalidad_Baja,0.5022887468211801,0.915916732241219,0.0035078521609439106,0.4742787591633269,0.0009300484271578653,24342.8444554718
