country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,tiene_dato_gini,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Djibouti,Mortalidad_Alta,0.3,0.0072357057597265415,0.6278417626439659,0.38741319695899334,0.40726415956558226,0.0,0.41726755218216316,0.012328309335189847,0.15978997891961055,0.028463517471521926,0.0,844.4483573908
Djibouti,Mortalidad_Alta,0.3,0.007020014083245106,0.6214750697474782,0.31194420795781996,0.4296849963141055,0.0,0.4263757115749526,0.011982391950082908,0.12868891289204806,0.03700147049523118,0.0,806.261652944964
Djibouti,Mortalidad_Alta,0.3,0.011670471988246296,0.6205880248944844,0.26193387043317573,0.4499875678516533,0.0,0.4349146110056926,0.019440603895439803,0.10807945687574365,0.04564793669526844,0.0,764.634465224597
Djibouti,Mortalidad_Alta,0.3,0.014055480137195632,0.6174833679090062,0.24529851213251086,0.430840914666448,1.0,0.444022770398482,0.023265581269633007,0.10122396054872788,0.05005768684314006,0.0,743.013270420348
Djibouti,Mortalidad_Alta,0.3,0.014055480137195632,0.6129336862436512,0.24529851213251086,0.430840914666448,0.0,0.452561669829222,0.023265581269633007,0.10122396054872788,0.05108383639050754,0.0,742.133791107063
Djibouti,Mortalidad_Alta,0.3,0.012717461749303917,0.6018885471063737,0.23649730255746154,0.4391996106244379,0.0,0.4605313092979127,0.0211197227482712,0.09759694760289701,0.05409832258244484,0.0,737.612183644052
Djibouti,Mortalidad_Alta,0.24980000000000002,0.011920950009051672,0.5947349595822304,0.2686763500575786,0.45348714439003446,0.0,0.40290322580645166,0.023829836084944954,0.1331361799161983,0.0497930026009266,0.0,786.201866748458
Dominican Republic,Mortalidad_Media,0.308,0.04365852184258007,0.8519350454252808,0.05223907064381934,0.5914668191646802,1.0,0.1700721062618596,0.06890426740907589,0.021100722442436194,0.08971632366042602,0.3333333333333333,10104.2449349081
Dominican Republic,Mortalidad_Media,0.34600000000000003,0.043135287435412305,0.8168252378567853,0.05302316195400999,0.585617479382399,1.0,0.1956508538899431,0.06060916721095368,0.019063470064985523,0.09055394204878542,0.3333333333333333,8527.0754858205
Dominican Republic,Mortalidad_Media,0.312,0.0386529738892743,0.8294012447242292,0.056906565364357606,0.6113705857497458,1.0,0.17997722960151802,0.06030194602817052,0.022679712725118262,0.08594733392438238,0.3333333333333333,7135.22273255899
Dominican Republic,Mortalidad_Media,0.23199999999999998,0.043106881330639446,0.8362114600472135,0.054408237550311996,0.6216311441059107,1.0,0.1360303605313093,0.0903323486826952,0.029168961923807094,0.09155580917328594,0.3333333333333333,8183.01623600375
Dominican Republic,Mortalidad_Media,0.262,0.03950005133406132,0.8425495385936048,0.057525991781867916,0.622796873095688,1.0,0.15511195445920303,0.07336549422361277,0.027300193840611588,0.08731530081068825,0.3333333333333333,7882.98221584944
Dominican Republic,Mortalidad_Media,0.309,0.03780763037489911,0.8399027112096717,0.0608941046269641,0.6349321523107366,1.0,0.1835237191650854,0.059571162060661605,0.024495322122309184,0.08260454036426136,0.3333333333333333,7412.71571571512
Dominican Republic,Mortalidad_Media,0.32,0.03865420041043008,0.8330209600114455,0.06329152846220984,0.63357845303204,1.0,0.19005692599620494,0.058796241481098514,0.024579533944426805,0.0793672930673488,0.3333333333333333,7160.44200982307
Dominican Republic,Mortalidad_Media,0.29,0.03657903789260126,0.8343515272909363,0.06369381513408104,0.6223662715810326,1.0,0.1716888045540797,0.06143579083480203,0.027293744952634764,0.07858537909413398,0.3333333333333333,6800.95309395474
Dominican Republic,Mortalidad_Media,0.273,0.034159436629605515,0.8366835968238071,0.06089655591755098,0.6156720132167983,1.0,0.16058823529411767,0.06099722501244062,0.02772658458509074,0.081777747638944,0.3333333333333333,6496.45166971142
Dominican Republic,Mortalidad_Media,0.26,0.03492841293319974,0.8351527290936402,0.06287466275356274,0.6156177931151793,1.0,0.15244781783681213,0.06547006977192937,0.030053512556607147,0.07884910298813948,0.3333333333333333,6136.59429329301
Dominican Republic,Mortalidad_Media,0.3,0.03627769669777568,0.831990843407969,0.06470746203114894,0.6244959852585134,1.0,0.17533206831119544,0.05890465260198248,0.026801681311596885,0.07627561395367934,0.3333333333333333,6013.81965002603
Dominican Republic,Mortalidad_Media,0.3,0.035751089593784466,0.8273982402174689,0.06818387571165964,0.6186679156762823,1.0,0.17533206831119544,0.058060101920366085,0.028234325008665677,0.07223774531623171,0.3333333333333333,5826.51014109195
Dominican Republic,Mortalidad_Media,0.3,0.035441150256160715,0.8208598612204019,0.07402204565644831,0.611975167510918,1.0,0.17476280834914612,0.057563034036423835,0.03064025771474949,0.06608020939312455,0.3333333333333333,5478.62470398954
Dominican Republic,Mortalidad_Media,0.3,0.034057392313877645,0.8143930180985763,0.07573412036620979,0.6072942292180711,1.0,0.17476280834914612,0.0553438203104982,0.03134581040993113,0.06451850569408486,0.3333333333333333,4973.95186999952
Dominican Republic,Mortalidad_Media,0.28,0.03540265515058033,0.810730381286215,0.07903442398089597,0.5823539740081844,1.0,0.16364326375711574,0.06160853269186847,0.03504201263457658,0.06190992580922604,0.3333333333333333,5023.58513403515
Dominican Republic,Mortalidad_Media,0.3,0.03724530431199741,0.8073825023249157,0.0820791356430931,0.5528501516387236,1.0,0.17590132827324478,0.06045646165266668,0.03396061606300769,0.0597044522756907,0.3333333333333333,4649.64558875814
Dominican Republic,Mortalidad_Media,0.29,0.03633244755842927,0.8067672937978396,0.08647247012022898,0.5604516361731905,1.0,0.17058823529411765,0.0610266825172022,0.03700461353020288,0.056709040085777596,0.3333333333333333,4055.14270347371
Dominican Republic,Mortalidad_Media,0.33,0.03537773094256936,0.8066099148723085,0.09094263113102456,0.5623689196147763,1.0,0.19537001897533204,0.05223756796879006,0.034193906615955394,0.054138106252615455,0.3333333333333333,3878.31206735244
Dominican Republic,Mortalidad_Media,0.35000000000000003,0.034326539615370286,0.8021317690821947,0.08851956038619889,0.5552265045572329,1.0,0.20920303605313093,0.04780754366993735,0.03138406314076652,0.056271987038325345,0.3333333333333333,2451.69161616569
Dominican Republic,Mortalidad_Media,0.31,0.03592788860140224,0.8039344731382787,0.08438594749041992,0.5554621738156913,1.0,0.18705882352941175,0.056461591792823666,0.03378509251214014,0.05977393195140582,0.3333333333333333,2383.26171780393
Dominican Republic,Mortalidad_Media,0.3,0.040490241232082204,0.8019743901566634,0.08579412851693101,0.5396445731191211,1.0,0.18387096774193548,0.06566055720490883,0.03549157918031352,0.05971813161690735,0.3333333333333333,3065.60329524196
Dominican Republic,Mortalidad_Media,0.3,0.03758749145379487,0.7995993990986479,0.08822905886803177,0.5417515917775116,1.0,0.1872865275142315,0.061005247230481896,0.036495023517177816,0.05912383372371814,0.3333333333333333,2935.89367312668
Dominican Republic,Mortalidad_Media,0.3,0.03928619856921928,0.7969096501895698,0.08469591109463062,0.5209585675492708,1.0,0.19127134724857686,0.06372956340723865,0.03503899947816523,0.06310130864389656,0.3333333333333333,2831.45883638033
Dominican Republic,Mortalidad_Media,0.3,0.030399777050266273,0.7830173832176837,0.12388317024939509,0.49428109948859256,0.0,0.22485768500948766,0.049477888308135716,0.05118822249733913,0.05013339731007245,0.3333333333333333,2109.16940728689
Ecuador,Mortalidad_Baja,0.37200000000000005,0.041536249848484225,0.8857858215895271,0.09323461955178373,0.5901362995942511,1.0,0.07905882352941176,0.054304921402050614,0.0310950279717151,0.016812357989521316,0.3333333333333333,6515.58528418336
Ecuador,Mortalidad_Media,0.385,0.04067310892177405,0.8309750339795405,0.10192851143261107,0.5930532961244543,1.0,0.08255218216318785,0.051392597016862406,0.03283684799106767,0.01526655612598886,0.3333333333333333,6061.32350181711
Ecuador,Mortalidad_Media,0.334,0.035999025062334974,0.820359110093712,0.1057979522535151,0.6256891171901998,1.0,0.07288425047438331,0.052506943621166396,0.03928314369152675,0.01490619851976883,0.3333333333333333,5463.64515348598
Ecuador,Mortalidad_Baja,0.253,0.04150064744488493,0.8959296086987623,0.0982174427260258,0.6042061913859388,1.0,0.056168880455407966,0.07977984768015325,0.04815566280940231,0.016647866973412032,0.3333333333333333,6205.05765246766
Ecuador,Mortalidad_Baja,0.302,0.03990467990640897,0.8953859360469276,0.09642408492718459,0.5963445463289293,1.0,0.06819354838709678,0.06429283925381117,0.03960817138539751,0.017364994409361387,0.3333333333333333,6303.91886658338
Ecuador,Mortalidad_Baja,0.33899999999999997,0.04122105142940523,0.8806781600972886,0.09967860563186716,0.5884492603305704,1.0,0.07847817836812143,0.059143894121584974,0.036472058932507816,0.01719649291479027,0.3333333333333333,6233.32244797718
Ecuador,Mortalidad_Baja,0.33,0.04064809366671305,0.8788754560412044,0.10182886154557899,0.5942899083582366,1.0,0.07827324478178369,0.05992155855218855,0.03827232316336249,0.017258484024312484,0.3333333333333333,5917.63771271481
Ecuador,Mortalidad_Baja,0.35000000000000003,0.04301757414770569,0.8807067744473851,0.10117545831068714,0.5833341634072486,1.0,0.08567362428842505,0.05975467641453347,0.03585453038297354,0.018053010246956776,0.3333333333333333,5976.1596805651
Ecuador,Mortalidad_Baja,0.26,0.04517914568451675,0.8795478932684742,0.09337838399325554,0.5289166297700941,1.0,0.06611005692599621,0.08443895553699869,0.04455816989362419,0.020726489180083938,0.3333333333333333,6405.79979300441
Ecuador,Mortalidad_Baja,0.27,0.04185787122597317,0.8751269761785534,0.08779484756163941,0.5196202410515826,1.0,0.07172675521821632,0.07539322843844566,0.04035120370747867,0.023393022932301808,0.3333333333333333,6109.29031510341
Ecuador,Mortalidad_Baja,0.25,0.04002341341160284,0.8701766936118462,0.08825338897674906,0.516465327387295,1.0,0.06925996204933586,0.07789425367732251,0.043806060060356124,0.024392990903373123,0.3333333333333333,5634.08393191094
Ecuador,Mortalidad_Media,0.22,0.04091469042379272,0.8657843908720222,0.09975857341762477,0.5137133575851452,1.0,0.06387096774193549,0.09046536989216157,0.056245065861176426,0.022384609560652063,0.3333333333333333,5153.6916424375
Ecuador,Mortalidad_Baja,0.2,0.03980638474705098,0.8659131554474568,0.10509507525022033,0.5371745926385324,1.0,0.06072106261859583,0.09684572470978145,0.06516836241483653,0.02220008166704183,0.3333333333333333,4520.30959039763
Ecuador,Mortalidad_Media,0.21,0.03808364518555047,0.8618069962085986,0.10866452683385895,0.5502573501835829,1.0,0.06654648956356736,0.08828708293415923,0.06416651417808711,0.022444084895867657,0.3333333333333333,4053.36331139298
Ecuador,Mortalidad_Media,0.23,0.034950168845576106,0.8590600185993276,0.09268202248423878,0.4987608500641323,1.0,0.07593927893738141,0.07405515439258718,0.04999579208936893,0.028132799894875243,0.3333333333333333,4194.75750661981
Ecuador,Mortalidad_Media,0.25,0.04017815360727781,0.8521496530510051,0.09646628210740839,0.5183497374382273,1.0,0.08586337760910817,0.07819205278426261,0.047867538581500405,0.028119015057485625,0.3333333333333333,3478.92488770671
Ecuador,Mortalidad_Media,0.24,0.03718718594535716,0.8490593032405751,0.0973684296184404,0.5244493411109113,1.0,0.08561669829222013,0.07545406727658906,0.05032674251020916,0.02903282854076361,0.3333333333333333,3243.67010359339
Ecuador,Mortalidad_Media,0.22,0.03843390683031824,0.8476142785606982,0.09745255007386108,0.5471605551531399,1.0,0.08140417457305503,0.08504003616198522,0.05494917324190867,0.03020793503879443,0.3333333333333333,2909.02606014388
Ecuador,Mortalidad_Media,0.22,0.036006762593547285,0.8470276843837183,0.10052272303862128,0.5600735109884216,1.0,0.0847438330170778,0.07973200867809088,0.05667448729636858,0.03052072431232218,0.3333333333333333,2586.20914663347
Ecuador,Mortalidad_Media,0.23,0.03529317573385861,0.8436511910723228,0.11420607002175662,0.5661469534081784,1.0,0.09208728652751423,0.07477267646211623,0.061565545541939694,0.027653627294824006,0.3333333333333333,2315.62215223014
Ecuador,Mortalidad_Media,0.26,0.03246643050597875,0.8369554331497246,0.11906424934819858,0.5427788823702101,0.0,0.10804554079696393,0.0609141941530315,0.05677191497904047,0.02751993780335386,0.3333333333333333,2059.1585535974
Ecuador,Mortalidad_Media,0.24,0.030575649929201698,0.8284712783460906,0.13217728393029246,0.5273221074727892,0.0,0.10474383301707779,0.06219993244187235,0.06825782404821479,0.025864666758127507,0.3333333333333333,1791.30359685037
Ecuador,Mortalidad_Media,0.23,0.029192320821266413,0.8215895271478646,0.15661559416941426,0.4617011389900615,1.0,0.10518026565464897,0.0620105477926349,0.08436180342856527,0.022500739762720226,0.3333333333333333,1382.23421759909
Ecuador,Mortalidad_Media,0.1,0.031065106311134523,0.8109879104370843,0.2769829506566936,0.47159550919976045,1.0,0.06204933586337761,0.1516347475332831,0.3428437253781116,0.01651206403127979,0.3333333333333333,2108.00698245316
El Salvador,Mortalidad_Media,0.36100000000000004,0.035222063536881586,0.8198583589670219,0.05736500744111211,0.6158133106382933,1.0,0.06507590132827325,0.047544325613991474,0.019758304994429595,0.02436673417978888,0.3333333333333333,5074.60210221806
El Salvador,Mortalidad_Media,0.342,0.03306243956779347,0.7908434079690965,0.06057323204135494,0.612731066792772,1.0,0.0635977229601518,0.0471475054990475,0.02201574468104059,0.023736906841942032,0.3333333333333333,4642.60743101342
El Salvador,Mortalidad_Media,0.316,0.03063816430831655,0.7951784820087273,0.067439470269134,0.6272975866413333,0.0,0.06116129032258064,0.04733563664030385,0.026513499312806776,0.02198914426347498,0.3333333333333333,3997.19279583709
El Salvador,Mortalidad_Media,0.23399999999999999,0.03364973117785457,0.8163674082552399,0.0648024608584786,0.6102332421849154,1.0,0.047066413662239084,0.07011542339763162,0.034411321410910835,0.024045095918943975,0.3333333333333333,4320.11671534627
El Salvador,Mortalidad_Media,0.252,0.03178246163645756,0.8114886615637742,0.06462952214563036,0.6118944258084611,1.0,0.05307779886148008,0.061542119797593324,0.03186852616599336,0.025411298302074378,0.3333333333333333,4183.54620971358
El Salvador,Mortalidad_Media,0.317,0.030858823870598837,0.8060948565705701,0.06792302399952116,0.6119481132049519,1.0,0.06917457305502847,0.04752121949769345,0.026618448261360405,0.025010514929193883,0.3333333333333333,4020.12671373919
El Salvador,Mortalidad_Media,0.39,0.031431151127625956,0.8046784462407897,0.07221510552125629,0.6144156171304455,1.0,0.0888045540796964,0.039332279518193826,0.022996623543153488,0.02449354169685842,0.3333333333333333,3901.34014965811
El Salvador,Mortalidad_Media,0.38,0.03084437015745646,0.8053079619429142,0.06965377388270277,0.610773178312392,1.0,0.09013282732447818,0.039624401317532046,0.02276848089748537,0.026711389426690067,0.3333333333333333,3790.34089108162
El Salvador,Mortalidad_Media,0.34299999999999997,0.02966973133883118,0.8080549395521854,0.07392004616272056,0.604000984846485,1.0,0.08526185958254268,0.042251082687887825,0.026762294452292012,0.026344709468740353,0.3333333333333333,3666.01248913873
El Salvador,Mortalidad_Media,0.34,0.030182591182547777,0.8092138207310966,0.0707110206597968,0.6054526037524944,1.0,0.08774193548387096,0.04334962464790109,0.025831562949028296,0.028866593786384218,0.3333333333333333,3582.26694005169
El Salvador,Mortalidad_Media,0.36,0.032102200358713945,0.8120037198655126,0.08211434787608261,0.5917417246809582,1.0,0.09768500948766605,0.04350680363456811,0.02831260596847621,0.025843823849758512,0.3333333333333333,3497.91256915509
El Salvador,Mortalidad_Media,0.34,0.03168674665603175,0.808741683954503,0.09243924000601468,0.5859817645415457,1.0,0.09612903225806452,0.045478126681055296,0.03373240205127014,0.023686740690373284,0.3333333333333333,3330.60049486653
El Salvador,Mortalidad_Media,0.39,0.03189705236264233,0.8046927534158381,0.08802897244664218,0.604954644240705,1.0,0.1154459203036053,0.03990704345746407,0.028009667014659217,0.02636507386197026,0.3333333333333333,3040.07300952878
El Salvador,Mortalidad_Media,0.4,0.03154367622987036,0.7968238071392801,0.08406627819761371,0.621830163652283,1.0,0.12447817836812144,0.038484319857134866,0.02608464397097311,0.02935089792344367,0.3333333333333333,2910.18651752011
El Salvador,Mortalidad_Media,0.4,0.03214133629192878,0.7936619214536089,0.08940083854203866,0.5960285918600435,1.0,0.13055028462998103,0.03920319671375255,0.02773343888358346,0.028907760984142057,0.3333333333333333,2983.24829577976
El Salvador,Mortalidad_Media,0.42,0.03178104879606687,0.7891122397882535,0.0881732361708388,0.6039995534905563,1.0,0.1442504743833017,0.036923653410732275,0.02605144197497962,0.031063317783480947,0.3333333333333333,2830.65693770733
El Salvador,Mortalidad_Media,0.42,0.031429295835214366,0.7861363473782099,0.076189125079732,0.6138418795519214,1.0,0.15142314990512334,0.036520705666040675,0.0225237997392267,0.03842197723049695,0.3333333333333333,2665.61807194853
El Salvador,Mortalidad_Media,0.37,0.02943119023754343,0.7821875670648828,0.07777726961453386,0.6167555281840501,1.0,0.14111954459203035,0.03885770988601303,0.026098216394176716,0.039940080889559894,0.3333333333333333,2447.39140845394
El Salvador,Mortalidad_Media,0.34,0.028674791562537334,0.7816009728879032,0.0721615976980042,0.616271028269811,1.0,0.13677419354838707,0.0412159658517477,0.02635902337280564,0.045839772384185955,0.3333333333333333,2285.68907438892
El Salvador,Mortalidad_Media,0.36,0.02843264063527212,0.7744044638386149,0.06913021657749448,0.60179578126592,1.0,0.15301707779886148,0.03860256360726853,0.023853596489080947,0.05088747085576811,0.3333333333333333,2207.83089518069
El Salvador,Mortalidad_Media,0.41000000000000003,0.026579407581223766,0.7705987552757707,0.07336461762115014,0.6004454597104785,1.0,0.1843833017077799,0.031720198423981126,0.022221460277442488,0.05073797672657685,0.3333333333333333,2115.41187355626
El Salvador,Mortalidad_Media,0.39,0.025908898147497906,0.7625724300736818,0.08429283710548685,0.5926818515492525,1.0,0.18500948766603414,0.03251969427919197,0.026825300852416235,0.04634054013204311,0.3333333333333333,2058.04459070452
El Salvador,Mortalidad_Media,0.36,0.02447511845890289,0.758938407611417,0.0904471578557527,0.5943638970109527,1.0,0.1810246679316888,0.03331347169188428,0.031174258999772077,0.045751547414807095,0.3333333333333333,1982.87093542615
